run_id,scheduler,workload,repetition,seed,task_id,tenant_id,priority,outcome,submitted_at,dispatched_at,started_at,finished_at,deadline,exec_ms,actual_exec_ms,retry_count,queue_wait_s,latency_s,deadline_missed,worker
example,fifo,multi_tenant,0,1000,quick-000055,A,1,completed,2026-09-08T09:26:38.705031Z,2026-09-08T09:26:38.82Z,2026-09-08T09:26:38.821377Z,2026-09-08T09:26:38.874388Z,2026-09-08T09:26:39.159031Z,53,53,0,0.116346,0.169357,false,bench-worker-0-3
example,fifo,multi_tenant,0,1000,quick-000057,A,3,completed,2026-09-08T09:26:38.714799Z,2026-09-08T09:26:38.834Z,2026-09-08T09:26:38.834932Z,2026-09-08T09:26:38.882973Z,2026-09-08T09:26:39.154799Z,48,48,0,0.120133,0.168174,false,bench-worker-0-0
example,fifo,multi_tenant,0,1000,quick-000060,A,0,completed,2026-09-08T09:26:38.730143Z,2026-09-08T09:26:38.84Z,2026-09-08T09:26:38.840434Z,2026-09-08T09:26:38.887459Z,2026-09-08T09:26:39.220143Z,47,47,0,0.110291,0.157316,false,bench-worker-1-1
example,fifo,multi_tenant,0,1000,quick-000058,A,0,completed,2026-09-08T09:26:38.720879Z,2026-09-08T09:26:38.837Z,2026-09-08T09:26:38.837623Z,2026-09-08T09:26:38.892941Z,2026-09-08T09:26:39.301879Z,55,55,0,0.116744,0.172062,false,bench-worker-0-1
example,fifo,multi_tenant,0,1000,quick-000059,A,4,completed,2026-09-08T09:26:38.720879Z,2026-09-08T09:26:38.837Z,2026-09-08T09:26:38.837626Z,2026-09-08T09:26:38.896719Z,2026-09-08T09:26:39.394879Z,59,59,0,0.116747,0.175840,false,bench-worker-1-3
example,fifo,multi_tenant,0,1000,quick-000063,D,3,completed,2026-09-08T09:26:38.748716Z,2026-09-08T09:26:38.865Z,2026-09-08T09:26:38.866444Z,2026-09-08T09:26:38.908486Z,2026-09-08T09:26:39.222716Z,42,42,0,0.117728,0.159770,false,bench-worker-0-2
example,fifo,multi_tenant,0,1000,quick-000061,A,2,completed,2026-09-08T09:26:38.734139Z,2026-09-08T09:26:38.854Z,2026-09-08T09:26:38.855084Z,2026-09-08T09:26:38.914309Z,2026-09-08T09:26:39.408139Z,59,59,0,0.120945,0.180170,false,bench-worker-1-2
example,fifo,multi_tenant,0,1000,quick-000062,A,1,completed,2026-09-08T09:26:38.742489Z,2026-09-08T09:26:38.86Z,2026-09-08T09:26:38.860573Z,2026-09-08T09:26:38.91773Z,2026-09-08T09:26:39.400489Z,57,57,0,0.118084,0.175241,false,bench-worker-1-0
example,fifo,multi_tenant,0,1000,quick-000065,A,1,completed,2026-09-08T09:26:38.765131Z,2026-09-08T09:26:38.884Z,2026-09-08T09:26:38.884637Z,2026-09-08T09:26:38.925862Z,2026-09-08T09:26:39.177131Z,41,41,0,0.119506,0.160731,false,bench-worker-0-0
example,fifo,multi_tenant,0,1000,quick-000064,A,2,completed,2026-09-08T09:26:38.762167Z,2026-09-08T09:26:38.876Z,2026-09-08T09:26:38.877027Z,2026-09-08T09:26:38.927122Z,2026-09-08T09:26:39.312167Z,50,50,0,0.114860,0.164955,false,bench-worker-0-3
example,fifo,multi_tenant,0,1000,quick-000066,A,0,completed,2026-09-08T09:26:38.771627Z,2026-09-08T09:26:38.889Z,2026-09-08T09:26:38.88994Z,2026-09-08T09:26:38.931998Z,2026-09-08T09:26:39.355627Z,42,42,0,0.118313,0.160371,false,bench-worker-1-1
example,fifo,multi_tenant,0,1000,quick-000068,A,0,completed,2026-09-08T09:26:38.783324Z,2026-09-08T09:26:38.898Z,2026-09-08T09:26:38.898824Z,2026-09-08T09:26:38.953893Z,2026-09-08T09:26:39.279324Z,55,55,0,0.115500,0.170569,false,bench-worker-1-3
